table	shortest_gates	witness_payload_hex	count_k1	count_k2	count_k3	count_k4	count_k5
0	1	40	3	72	3081	198678	17867673
1	5	000b13255e	0	0	0	0	192
2	4	020a1c55	0	0	0	64	16304
3	3	000b44	0	0	72	7556	852192
4	4	010a1c4d	0	0	0	64	16304
5	3	001344	0	0	72	7556	852192
6	4	000b1365	0	0	0	72	22776
7	4	000a1c2d	0	0	0	152	35096
8	4	000a1c45	0	0	0	152	35516
9	4	004a1c45	0	0	0	152	31708
10	3	001324	0	0	26	2988	389206
11	5	0009131c2e	0	0	0	0	2300
12	3	000b24	0	0	26	2988	389206
13	5	0009141d36	0	0	0	0	2300
14	4	000b1325	0	0	0	16	6096
15	1	00	1	18	863	62256	6124843
16	4	01021c45	0	0	0	64	16304
17	3	09134c	0	0	72	7556	852192
18	4	09031365	0	0	0	72	22776
19	4	02091c2d	0	0	0	152	35096
20	4	12030b65	0	0	0	72	22776
21	4	01121c2d	0	0	0	152	35096
22	5	0001144b6e	0	0	0	0	8448
23	4	41421c45	0	0	0	96	22368
24	4	41031365	0	0	0	80	19888
25	3	01134c	0	0	16	1600	182400
26	4	01031365	0	0	0	168	34104
27	3	41134c	0	0	8	928	115208
28	4	02030b65	0	0	0	168	34104
29	3	420b54	0	0	8	928	115208
30	4	09121c45	0	0	0	104	32640
31	4	01021c05	0	0	0	456	99872
32	4	02091c4d	0	0	0	152	35516
33	4	09421c4d	0	0	0	152	31708
34	3	091324	0	0	26	2988	389206
35	5	0009141c2e	0	0	0	0	2300
36	4	410b1365	0	0	0	80	19888
37	3	011344	0	0	16	1600	182400
38	4	010b1365	0	0	0	168	34104
39	3	411344	0	0	8	928	115208
40	3	020a5c	0	0	20	2016	233324
41	4	01421c4d	0	0	0	96	20128
42	3	011324	0	0	4	416	64796
43	4	41421c4d	0	0	0	64	13856
44	4	01021c4d	0	0	0	96	20800
45	3	091344	0	0	52	5328	589152
46	4	010b1325	0	0	0	72	25704
47	3	011304	0	0	44	4592	526632
48	3	00015c	0	0	26	2988	389206
49	5	0009132536	0	0	0	0	2300
50	4	09031325	0	0	0	16	6096
51	1	09	1	18	863	62256	6124843
52	4	000a1c4d	0	0	0	168	34104
53	3	4a0354	0	0	8	928	115208
54	4	00121c4d	0	0	0	104	32640
55	4	000a1c0d	0	0	0	456	99872
56	4	010a1c45	0	0	0	96	20800
57	3	00134c	0	0	52	5328	589152
58	4	01031325	0	0	0	72	25704
59	3	00130c	0	0	44	4592	526632
60	1	41	2	36	1290	74244	6179190
61	5	00121c4b2e	0	0	0	0	432
62	4	00134b25	0	0	0	32	13552
63	1	01	2	36	1394	84564	7306030
64	4	01121c55	0	0	0	152	35516
65	4	12411c55	0	0	0	152	31708
66	4	420b1365	0	0	0	80	19888
67	3	020b44	0	0	16	1600	182400
68	3	090a5c	0	0	26	2988	389206
69	5	00120c1c2e	0	0	0	0	2300
70	4	02091c55	0	0	0	168	34104
71	3	420b44	0	0	8	928	115208
72	3	010a5c	0	0	20	2016	233324
73	4	02411c55	0	0	0	96	20128
74	4	01021c55	0	0	0	96	20800
75	3	0a0b44	0	0	52	5328	589152
76	3	020b24	0	0	4	416	64796
77	4	41421c55	0	0	0	64	13856
78	4	020b1325	0	0	0	72	25704
79	3	020b04	0	0	44	4592	526632
80	3	00025c	0	0	26	2988	389206
81	5	000b122536	0	0	0	0	2300
82	4	000a1c55	0	0	0	168	34104
83	3	4a034c	0	0	8	928	115208
84	4	12030b25	0	0	0	16	6096
85	1	12	1	18	863	62256	6124843
86	4	00091c55	0	0	0	104	32640
87	4	00091c15	0	0	0	456	99872
88	4	020a1c45	0	0	0	96	20800
89	3	000b54	0	0	52	5328	589152
90	1	42	2	36	1290	74244	6179190
91	5	00091c532e	0	0	0	0	432
